year,crop_id,season,production,planting_cost,demand,price,normal_sales,excess_sales,normal_revenue,excess_revenue,profit
2024,1,单季,14000.0,14000.0,57000.0,3.25,14000.0,0.0,45500.0,0.0,31500.0
2024,2,单季,81125.0,66800.0,21850.0,7.5,21850.0,59275.0,163875.0,222281.25,319356.25
2024,3,单季,20900.0,19250.0,22400.0,8.25,20900.0,0.0,172425.0,0.0,153175.0
2024,4,单季,38500.0,38500.0,33040.0,7.0,33040.0,5460.0,231280.0,19110.0,211890.0
2024,5,单季,5625.0,5250.0,9875.0,6.75,5625.0,0.0,37968.75,0.0,32718.75
2024,6,单季,153200.0,89100.0,170840.0,3.5,153200.0,0.0,536200.0,0.0,447100.0
2024,7,单季,80000.0,40000.0,132750.0,3.0,80000.0,0.0,240000.0,0.0,200000.0
2024,8,单季,83600.0,79200.0,71400.0,6.75,71400.0,12200.0,481950.0,41175.0,443925.0
2024,9,单季,27600.0,18400.0,30000.0,6.0,27600.0,0.0,165600.0,0.0,147200.0
2024,10,单季,10000.0,7200.0,12500.0,7.5,10000.0,0.0,75000.0,0.0,67800.0
2024,11,单季,10125.0,35000.0,1500.0,40.0,1500.0,8625.0,60000.0,172500.0,197500.0
2024,14,单季,11200.0,11200.0,14000.0,5.5,11200.0,0.0,61600.0,0.0,50400.0
2024,17,第一季,191160.0,127440.0,36480.0,8.0,36480.0,154680.0,291840.0,618720.0,783120.0
2024,18,第一季,28000.0,14000.0,26880.0,6.75,26880.0,1120.0,181440.0,3780.0,171220.0
2024,19,第一季,6480.0,4320.0,6480.0,6.5,6480.0,0.0,42120.0,0.0,37800.0
2024,22,第一季,72576.0,22560.0,43200.0,5.5,43200.0,29376.0,237600.0,80784.0,295824.0
2024,22,第二季,4320.0,1584.0,2160.0,6.6,2160.0,2160.0,14256.0,7128.0,19800.0
2024,26,第一季,2700.0,2100.0,4050.0,6.5,2700.0,0.0,17550.0,0.0,15450.0
2024,29,第一季,375000.0,89500.0,9000.0,7.0,9000.0,366000.0,63000.0,1281000.0,1254500.0
2024,29,第二季,16200.0,4620.0,4050.0,8.4,4050.0,12150.0,34020.0,51030.0,80430.0
2024,30,第二季,1350.0,660.0,1350.0,6.300000000000001,1350.0,0.0,8505.000000000002,0.0,7845.000000000002
2024,33,第一季,3600.0,1500.0,1800.0,4.5,1800.0,1800.0,8100.0,4050.0,10650.0
2024,34,第二季,1800.0,360.0,1800.0,4.8,1800.0,0.0,8640.0,0.0,8280.0
2024,35,第二季,160000.0,64000.0,150000.0,2.5,150000.0,10000.0,375000.0,12500.0,323500.0
2024,36,第二季,192000.0,24000.0,100000.0,2.5,100000.0,92000.0,250000.0,115000.0,341000.0
2024,37,第二季,45000.0,7500.0,36000.0,3.25,36000.0,9000.0,117000.0,14625.0,124125.0
2024,38,第二季,39000.0,23400.0,9000.0,57.5,9000.0,30000.0,517500.0,862500.0,1356600.0
2024,40,第二季,18000.0,18000.0,18000.0,16.0,18000.0,0.0,288000.0,0.0,270000.0
2025,2,单季,100250.0,84421.05263157895,21850.0,7.5,21850.0,78400.0,163875.0,294000.0,373453.94736842107
2025,3,单季,22400.0,20631.57894736842,22400.0,8.25,22400.0,0.0,184800.0,0.0,164168.42105263157
2025,4,单季,37765.0,38850.0,33040.0,7.0,33040.0,4725.0,231280.0,16537.5,208967.5
2025,5,单季,10125.0,9450.0,9875.0,6.75,9875.0,250.0,66656.25,843.75,58050.0
2025,6,单季,133600.0,77400.0,170840.0,3.5,133600.0,0.0,467600.0,0.0,390200.0
2025,7,单季,123000.0,61500.0,132750.0,3.0,123000.0,0.0,369000.0,0.0,307500.0
2025,8,单季,75620.0,71640.0,71400.0,6.75,71400.0,4220.0,481950.0,14242.5,424552.5
2025,9,单季,30000.0,20000.0,30000.0,6.0,30000.0,0.0,180000.0,0.0,160000.0
2025,10,单季,16625.0,12600.0,12500.0,7.5,12500.0,4125.0,93750.0,15468.75,96618.75
2025,16,单季,10500.0,14280.0,21000.0,7.0,10500.0,0.0,73500.0,0.0,59220.0
2025,17,第一季,36480.0,24320.0,36480.0,8.0,36480.0,0.0,291840.0,0.0,267520.0
2025,17,第二季,3840.0,3168.0,0.0,9.600000000000001,0.0,3840.0,0.0,18432.000000000004,15264.000000000004
2025,18,第一季,17280.0,8640.0,26880.0,6.75,17280.0,0.0,116640.0,0.0,108000.0
2025,22,第一季,68800.0,21440.0,43200.0,5.5,43200.0,25600.0,237600.0,70400.0,286560.0
2025,22,第二季,2160.0,792.0,2160.0,6.6,2160.0,0.0,14256.0,0.0,13464.0
2025,29,第一季,9000.0,2100.0,9000.0,7.0,9000.0,0.0,63000.0,0.0,60900.0
2025,29,第二季,8100.0,2310.0,4050.0,8.4,4050.0,4050.0,34020.0,17010.0,48720.0
2025,34,第二季,1800.0,360.0,1800.0,4.8,1800.0,0.0,8640.0,0.0,8280.0
2025,35,第二季,50000.0,20000.0,150000.0,2.5,50000.0,0.0,125000.0,0.0,105000.0
2025,38,第二季,9000.0,5400.0,9000.0,57.5,9000.0,0.0,517500.0,0.0,512100.0
2025,39,第二季,7200.0,3600.0,7200.0,19.0,7200.0,0.0,136800.0,0.0,133200.0
2025,40,第二季,18000.0,18000.0,18000.0,16.0,18000.0,0.0,288000.0,0.0,270000.0
2025,41,第二季,4200.0,42000.0,4200.0,100.0,4200.0,0.0,420000.0,0.0,378000.0
2026,2,单季,66025.0,55600.0,21850.0,7.5,21850.0,44175.0,163875.0,165656.25,273931.25
2026,3,单季,22800.0,21000.0,22400.0,8.25,22400.0,400.0,184800.0,1650.0,165450.0
2026,4,单季,23800.0,23800.0,33040.0,7.0,23800.0,0.0,166600.0,0.0,142800.0
2026,5,单季,13125.0,12250.0,9875.0,6.75,9875.0,3250.0,66656.25,10968.75,65375.0
2026,6,单季,184600.0,108000.0,170840.0,3.5,170840.0,13760.0,597940.0,24080.0,514020.0
2026,7,单季,55000.0,27500.0,132750.0,3.0,55000.0,0.0,165000.0,0.0,137500.0
2026,8,单季,58900.0,55800.0,71400.0,6.75,58900.0,0.0,397575.0,0.0,341775.0
2026,9,单季,27000.0,18000.0,30000.0,6.0,27000.0,0.0,162000.0,0.0,144000.0
2026,11,单季,4200.0,14700.0,1500.0,40.0,1500.0,2700.0,60000.0,54000.0,99300.0
2026,12,单季,35100.0,11700.0,35100.0,1.5,35100.0,0.0,52650.0,0.0,40950.0
2026,13,单季,51260.0,46600.0,36000.0,3.25,36000.0,15260.0,117000.0,24797.5,95197.5
2026,14,单季,14000.0,14000.0,14000.0,5.5,14000.0,0.0,77000.0,0.0,63000.0
2026,17,第一季,98707.31707317074,65804.87804878049,36480.0,8.0,36480.0,62227.317073170736,291840.0,248909.26829268294,474944.39024390245
2026,17,第二季,1920.0,1584.0,0.0,9.600000000000001,0.0,1920.0,0.0,9216.000000000002,7632.000000000002
2026,18,第一季,21440.0,10720.0,26880.0,6.75,21440.0,0.0,144720.0,0.0,134000.0
2026,22,第一季,4800.0,1440.0,43200.0,5.5,4800.0,0.0,26400.0,0.0,24960.0
2026,22,第二季,4320.0,1584.0,2160.0,6.6,2160.0,2160.0,14256.0,7128.0,19800.0
2026,27,第一季,4500.0,1756.09756097561,4500.0,5.0,4500.0,0.0,22500.0,0.0,20743.90243902439
2026,29,第一季,457500.0,109250.0,9000.0,7.0,9000.0,448500.0,63000.0,1569750.0,1523500.0
2026,32,第一季,3600.0,1500.0,3600.0,4.5,3600.0,0.0,16200.0,0.0,14700.0
2026,34,第二季,3600.0,720.0,1800.0,4.8,1800.0,1800.0,8640.0,4320.0,12240.0
2026,35,第二季,110000.0,44000.0,150000.0,2.5,110000.0,0.0,275000.0,0.0,231000.0
2026,36,第二季,120000.0,15000.0,100000.0,2.5,100000.0,20000.0,250000.0,25000.0,260000.0
2026,37,第二季,36000.0,6000.0,36000.0,3.25,36000.0,0.0,117000.0,0.0,111000.0
2026,38,第二季,39000.0,23400.0,9000.0,57.5,9000.0,30000.0,517500.0,862500.0,1356600.0
2026,40,第二季,18000.0,18000.0,18000.0,16.0,18000.0,0.0,288000.0,0.0,270000.0
2027,1,单季,54000.0,54000.0,57000.0,3.25,54000.0,0.0,175500.0,0.0,121500.0
2027,2,单季,47500.0,40000.0,21850.0,7.5,21850.0,25650.0,163875.0,96187.5,220062.5
2027,3,单季,19000.0,17500.0,22400.0,8.25,19000.0,0.0,156750.0,0.0,139250.0
2027,4,单季,37170.0,37800.0,33040.0,7.0,33040.0,4130.0,231280.0,14455.0,207935.0
2027,5,单季,35505.0,30450.0,9875.0,6.75,9875.0,25630.0,66656.25,86501.25,122707.5
2027,6,单季,60800.0,36000.0,170840.0,3.5,60800.0,0.0,212800.0,0.0,176800.0
2027,8,单季,74100.0,70200.0,71400.0,6.75,71400.0,2700.0,481950.0,9112.5,420862.5
2027,9,单季,27600.0,18400.0,30000.0,6.0,27600.0,0.0,165600.0,0.0,147200.0
2027,11,单季,14775.0,50050.0,1500.0,40.0,1500.0,13275.0,60000.0,265500.0,275450.0
2027,14,单季,10000.0,10000.0,14000.0,5.5,10000.0,0.0,55000.0,0.0,45000.0
2027,17,第一季,207960.0,138640.0,36480.0,8.0,36480.0,171480.0,291840.0,685920.0,839120.0
2027,18,第一季,35520.0,17760.0,26880.0,6.75,26880.0,8640.0,181440.0,29160.0,192840.0
2027,19,第一季,2160.0,1440.0,6480.0,6.5,2160.0,0.0,14040.0,0.0,12600.0
2027,22,第一季,4800.0,1440.0,43200.0,5.5,4800.0,0.0,26400.0,0.0,24960.0
2027,22,第二季,4320.0,1584.0,2160.0,6.6,2160.0,2160.0,14256.0,7128.0,19800.0
2027,29,第一季,9000.0,2100.0,9000.0,7.0,9000.0,0.0,63000.0,0.0,60900.0
2027,29,第二季,16200.0,4620.0,4050.0,8.4,4050.0,12150.0,34020.0,51030.0,80430.0
2027,30,第一季,6000.0,2400.0,1500.0,5.25,1500.0,4500.0,7875.0,11812.5,17287.5
2027,30,第二季,2700.0,1320.0,1350.0,6.300000000000001,1350.0,1350.0,8505.000000000002,4252.500000000001,11437.500000000004
2027,32,第一季,220000.0,90200.0,3600.0,4.5,3600.0,216400.0,16200.0,486900.0,412900.0
2027,35,第二季,90000.0,36000.0,150000.0,2.5,90000.0,0.0,225000.0,0.0,189000.0
2027,37,第二季,141000.0,23500.0,36000.0,3.25,36000.0,105000.0,117000.0,170625.0,264125.0
2027,38,第二季,9000.0,5400.0,9000.0,57.5,9000.0,0.0,517500.0,0.0,512100.0
2027,39,第二季,7200.0,3600.0,7200.0,19.0,7200.0,0.0,136800.0,0.0,133200.0
2027,40,第二季,18000.0,18000.0,18000.0,16.0,18000.0,0.0,288000.0,0.0,270000.0
2027,41,第二季,4200.0,42000.0,4200.0,100.0,4200.0,0.0,420000.0,0.0,378000.0
2028,2,单季,97850.0,82400.0,21850.0,7.5,21850.0,76000.0,163875.0,285000.0,366475.0
2028,3,单季,24320.0,22400.0,22400.0,8.25,22400.0,1920.0,184800.0,7920.0,170320.0
2028,4,单季,8820.0,9800.0,33040.0,7.0,8820.0,0.0,61740.0,0.0,51940.0
2028,5,单季,10125.0,9450.0,9875.0,6.75,9875.0,250.0,66656.25,843.75,58050.0
2028,6,单季,148800.0,86400.0,170840.0,3.5,148800.0,0.0,520800.0,0.0,434400.0
2028,7,单季,103000.0,51500.0,132750.0,3.0,103000.0,0.0,309000.0,0.0,257500.0
2028,8,单季,68020.0,64440.0,71400.0,6.75,68020.0,0.0,459135.0,0.0,394695.0
2028,10,单季,16625.0,12600.0,12500.0,7.5,12500.0,4125.0,93750.0,15468.75,96618.75
2028,11,单季,1800.0,6300.0,1500.0,40.0,1500.0,300.0,60000.0,6000.0,59700.0
2028,12,单季,165000.0,55000.0,35100.0,1.5,35100.0,129900.0,52650.0,97425.0,95075.0
2028,16,单季,11000.0,14960.0,21000.0,7.0,11000.0,0.0,77000.0,0.0,62040.0
2028,17,第二季,3840.0,3168.0,0.0,9.600000000000001,0.0,3840.0,0.0,18432.000000000004,15264.000000000004
2028,19,第一季,2160.0,1440.0,6480.0,6.5,2160.0,0.0,14040.0,0.0,12600.0
2028,22,第一季,9600.0,2880.0,43200.0,5.5,9600.0,0.0,52800.0,0.0,49920.0
2028,22,第二季,2160.0,792.0,2160.0,6.6,2160.0,0.0,14256.0,0.0,13464.0
2028,26,第一季,1350.0,1050.0,4050.0,6.5,1350.0,0.0,8775.0,0.0,7725.0
2028,29,第一季,738000.0,177300.0,9000.0,7.0,9000.0,729000.0,63000.0,2551500.0,2437200.0
2028,30,第二季,1350.0,660.0,1350.0,6.300000000000001,1350.0,0.0,8505.000000000002,0.0,7845.000000000002
2028,32,第一季,3600.0,1500.0,3600.0,4.5,3600.0,0.0,16200.0,0.0,14700.0
2028,36,第二季,100000.0,12500.0,100000.0,2.5,100000.0,0.0,250000.0,0.0,237500.0
2028,38,第二季,39000.0,23400.0,9000.0,57.5,9000.0,30000.0,517500.0,862500.0,1356600.0
2028,40,第二季,18000.0,18000.0,18000.0,16.0,18000.0,0.0,288000.0,0.0,270000.0
2029,2,单季,99375.0,82560.0,21850.0,7.5,21850.0,77525.0,163875.0,290718.75,372033.75
2029,3,单季,17480.0,16100.0,22400.0,8.25,17480.0,0.0,144210.0,0.0,128110.0
2029,4,单季,33040.0,33343.333333333336,33040.0,7.0,33040.0,0.0,231280.0,0.0,197936.66666666666
2029,5,单季,9875.0,9216.666666666668,9875.0,6.75,9875.0,0.0,66656.25,0.0,57439.58333333333
2029,6,单季,161800.0,94500.0,170840.0,3.5,161800.0,0.0,566300.0,0.0,471800.0
2029,7,单季,135000.0,67500.0,132750.0,3.0,132750.0,2250.0,398250.0,3375.0,334125.0
2029,8,单季,77900.0,73800.0,71400.0,6.75,71400.0,6500.0,481950.0,21937.5,430087.5
2029,9,单季,30000.0,20526.315789473683,30000.0,6.0,30000.0,0.0,180000.0,0.0,159473.68421052632
2029,10,单季,14725.0,11160.0,12500.0,7.5,12500.0,2225.0,93750.0,8343.75,90933.75
2029,11,单季,1568.4210526315787,5489.473684210526,1500.0,40.0,1500.0,68.42105263157873,60000.0,1368.4210526315746,55878.947368421046
2029,12,单季,35100.0,11700.0,35100.0,1.5,35100.0,0.0,52650.0,0.0,40950.0
2029,13,单季,51260.0,46600.0,36000.0,3.25,36000.0,15260.0,117000.0,24797.5,95197.5
2029,17,第一季,97080.0,64720.0,36480.0,8.0,36480.0,60600.0,291840.0,242400.0,469520.0
2029,17,第二季,1920.0,1584.0,0.0,9.600000000000001,0.0,1920.0,0.0,9216.000000000002,7632.000000000002
2029,18,第一季,26880.0,13440.0,26880.0,6.75,26880.0,0.0,181440.0,0.0,168000.0
2029,19,第一季,86160.0,57440.0,6480.0,6.5,6480.0,79680.0,42120.0,258960.0,243640.0
2029,22,第二季,4320.0,1584.0,2160.0,6.6,2160.0,2160.0,14256.0,7128.0,19800.0
2029,29,第一季,27000.0,6300.0,9000.0,7.0,9000.0,18000.0,63000.0,63000.0,119700.0
2029,30,第二季,1350.0,660.0,1350.0,6.300000000000001,1350.0,0.0,8505.000000000002,0.0,7845.000000000002
2029,32,第二季,6600.0,3300.0,0.0,5.4,0.0,6600.0,0.0,17820.0,14520.0
2029,34,第二季,1800.0,360.0,1800.0,4.8,1800.0,0.0,8640.0,0.0,8280.0
2029,35,第二季,150000.0,60000.0,150000.0,2.5,150000.0,0.0,375000.0,0.0,315000.0
2029,37,第二季,96000.0,16000.0,36000.0,3.25,36000.0,60000.0,117000.0,97500.0,198500.0
2029,38,第二季,9000.0,5400.0,9000.0,57.5,9000.0,0.0,517500.0,0.0,512100.0
2029,39,第二季,7200.0,3600.0,7200.0,19.0,7200.0,0.0,136800.0,0.0,133200.0
2029,40,第二季,18000.0,18000.0,18000.0,16.0,18000.0,0.0,288000.0,0.0,270000.0
2029,41,第二季,4200.0,42000.0,4200.0,100.0,4200.0,0.0,420000.0,0.0,378000.0
2030,1,单季,54000.0,54000.0,57000.0,3.25,54000.0,0.0,175500.0,0.0,121500.0
2030,2,单季,49875.0,42000.0,21850.0,7.5,21850.0,28025.0,163875.0,105093.75,226968.75
2030,3,单季,17100.0,15750.0,22400.0,8.25,17100.0,0.0,141075.0,0.0,125325.0
2030,4,单季,31500.0,31500.0,33040.0,7.0,31500.0,0.0,220500.0,0.0,189000.0
2030,5,单季,12375.0,11550.0,9875.0,6.75,9875.0,2500.0,66656.25,8437.5,63543.75
2030,6,单季,79800.0,47250.0,170840.0,3.5,79800.0,0.0,279300.0,0.0,232050.0
2030,7,单季,140000.0,70000.0,132750.0,3.0,132750.0,7250.0,398250.0,10875.0,339125.0
2030,8,单季,64980.0,61560.0,71400.0,6.75,64980.0,0.0,438615.0,0.0,377055.0
2030,9,单季,30000.0,20000.0,30000.0,6.0,30000.0,0.0,180000.0,0.0,160000.0
2030,10,单季,10000.0,7200.0,12500.0,7.5,10000.0,0.0,75000.0,0.0,67800.0
2030,11,单季,11415.0,38850.0,1500.0,40.0,1500.0,9915.0,60000.0,198300.0,219450.0
2030,17,第一季,204000.0,136000.0,36480.0,8.0,36480.0,167520.0,291840.0,670080.0,825920.0
2030,22,第一季,9600.0,2880.0,43200.0,5.5,9600.0,0.0,52800.0,0.0,49920.0
2030,22,第二季,4320.0,1584.0,2160.0,6.6,2160.0,2160.0,14256.0,7128.0,19800.0
2030,26,第一季,2700.0,2100.0,4050.0,6.5,2700.0,0.0,17550.0,0.0,15450.0
2030,29,第一季,442500.0,105850.0,9000.0,7.0,9000.0,433500.0,63000.0,1517250.0,1474400.0
2030,29,第二季,24300.0,6930.0,4050.0,8.4,4050.0,20250.0,34020.0,85050.0,112140.0
2030,30,第一季,3000.0,1200.0,1500.0,5.25,1500.0,1500.0,7875.0,3937.5,10612.5
