plot_id,year,season,crop_id,area
A1,2024,单季,1,0.0
A1,2024,单季,2,0.0
A1,2024,单季,3,0.0
A1,2024,单季,4,0.0
A1,2024,单季,5,0.0
A1,2024,单季,6,0.0
A1,2024,单季,7,63.63636363636364
A1,2024,单季,8,0.0
A1,2024,单季,9,0.0
A1,2024,单季,10,0.0
A1,2024,单季,11,0.0
A1,2024,单季,12,0.0
A1,2024,单季,13,16.363636363636363
A1,2024,单季,14,0.0
A1,2024,单季,15,0.0
A1,2025,单季,1,51.4
A1,2025,单季,2,28.6
A1,2025,单季,3,0.0
A1,2025,单季,4,0.0
A1,2025,单季,5,0.0
A1,2025,单季,6,0.0
A1,2025,单季,7,0.0
A1,2025,单季,8,0.0
A1,2025,单季,9,0.0
A1,2025,单季,10,0.0
A1,2025,单季,11,0.0
A1,2025,单季,12,0.0
A1,2025,单季,13,0.0
A1,2025,单季,14,0.0
A1,2025,单季,15,0.0
A1,2026,单季,1,0.0
A1,2026,单季,2,0.0
A1,2026,单季,3,0.0
A1,2026,单季,4,0.0
A1,2026,单季,5,0.0
A1,2026,单季,6,80.0
A1,2026,单季,7,0.0
A1,2026,单季,8,0.0
A1,2026,单季,9,0.0
A1,2026,单季,10,0.0
A1,2026,单季,11,0.0
A1,2026,单季,12,0.0
A1,2026,单季,13,0.0
A1,2026,单季,14,0.0
A1,2026,单季,15,0.0
A1,2027,单季,1,0.0
A1,2027,单季,2,0.0
A1,2027,单季,3,0.0
A1,2027,单季,4,0.0
A1,2027,单季,5,0.0
A1,2027,单季,6,0.0
A1,2027,单季,7,80.0
A1,2027,单季,8,0.0
A1,2027,单季,9,0.0
A1,2027,单季,10,0.0
A1,2027,单季,11,0.0
A1,2027,单季,12,0.0
A1,2027,单季,13,0.0
A1,2027,单季,14,0.0
A1,2027,单季,15,0.0
A1,2028,单季,1,27.9
A1,2028,单季,2,0.0
A1,2028,单季,3,0.0
A1,2028,单季,4,52.1
A1,2028,单季,5,0.0
A1,2028,单季,6,0.0
A1,2028,单季,7,0.0
A1,2028,单季,8,0.0
A1,2028,单季,9,0.0
A1,2028,单季,10,0.0
A1,2028,单季,11,0.0
A1,2028,单季,12,0.0
A1,2028,单季,13,0.0
A1,2028,单季,14,0.0
A1,2028,单季,15,0.0
A1,2029,单季,1,0.0
A1,2029,单季,2,0.0
A1,2029,单季,3,0.0
A1,2029,单季,4,0.0
A1,2029,单季,5,0.0
A1,2029,单季,6,0.0
A1,2029,单季,7,80.0
A1,2029,单季,8,0.0
A1,2029,单季,9,0.0
A1,2029,单季,10,0.0
A1,2029,单季,11,0.0
A1,2029,单季,12,0.0
A1,2029,单季,13,0.0
A1,2029,单季,14,0.0
A1,2029,单季,15,0.0
A1,2030,单季,1,0.0
A1,2030,单季,2,0.0
A1,2030,单季,3,0.0
A1,2030,单季,4,-0.0
A1,2030,单季,5,0.0
A1,2030,单季,6,80.0
A1,2030,单季,7,0.0
A1,2030,单季,8,0.0
A1,2030,单季,9,0.0
A1,2030,单季,10,0.0
A1,2030,单季,11,0.0
A1,2030,单季,12,0.0
A1,2030,单季,13,0.0
A1,2030,单季,14,0.0
A1,2030,单季,15,0.0
A2,2024,单季,1,0.0
A2,2024,单季,2,0.0
A2,2024,单季,3,0.0
A2,2024,单季,4,0.0
A2,2024,单季,5,0.0
A2,2024,单季,6,50.25
A2,2024,单季,7,0.0
A2,2024,单季,8,0.0
A2,2024,单季,9,0.0
A2,2024,单季,10,0.0
A2,2024,单季,11,0.0
A2,2024,单季,12,0.0
A2,2024,单季,13,0.0
A2,2024,单季,14,0.0
A2,2024,单季,15,0.0
A2,2025,单季,1,55.0
A2,2025,单季,2,0.0
A2,2025,单季,3,0.0
A2,2025,单季,4,-0.0
A2,2025,单季,5,0.0
A2,2025,单季,6,0.0
A2,2025,单季,7,0.0
A2,2025,单季,8,0.0
A2,2025,单季,9,0.0
A2,2025,单季,10,0.0
A2,2025,单季,11,0.0
A2,2025,单季,12,0.0
A2,2025,单季,13,0.0
A2,2025,单季,14,0.0
A2,2025,单季,15,0.0
A2,2026,单季,1,0.0
A2,2026,单季,2,0.0
A2,2026,单季,3,0.0
A2,2026,单季,4,0.0
A2,2026,单季,5,0.0
A2,2026,单季,6,0.0
A2,2026,单季,7,55.0
A2,2026,单季,8,0.0
A2,2026,单季,9,0.0
A2,2026,单季,10,0.0
A2,2026,单季,11,0.0
A2,2026,单季,12,0.0
A2,2026,单季,13,0.0
A2,2026,单季,14,0.0
A2,2026,单季,15,0.0
A2,2027,单季,1,0.0
A2,2027,单季,2,0.0
A2,2027,单季,3,0.0
A2,2027,单季,4,9.53428571428572
A2,2027,单季,5,0.0
A2,2027,单季,6,0.0
A2,2027,单季,7,0.0
A2,2027,单季,8,0.0
A2,2027,单季,9,0.0
A2,2027,单季,10,0.0
A2,2027,单季,11,0.0
A2,2027,单季,12,11.7
A2,2027,单季,13,0.0
A2,2027,单季,14,0.0
A2,2027,单季,15,0.0
A2,2028,单季,1,45.465714285714284
A2,2028,单季,2,0.0
A2,2028,单季,3,0.0
A2,2028,单季,4,0.0
A2,2028,单季,5,0.0
A2,2028,单季,6,0.0
A2,2028,单季,7,0.0
A2,2028,单季,8,0.0
A2,2028,单季,9,0.0
A2,2028,单季,10,0.0
A2,2028,单季,11,0.0
A2,2028,单季,12,0.0
A2,2028,单季,13,0.0
A2,2028,单季,14,0.0
A2,2028,单季,15,0.0
A2,2029,单季,1,0.0
A2,2029,单季,2,0.0
A2,2029,单季,3,0.0
A2,2029,单季,4,0.0
A2,2029,单季,5,0.0
A2,2029,单季,6,0.0
A2,2029,单季,7,52.75
A2,2029,单季,8,0.0
A2,2029,单季,9,0.0
A2,2029,单季,10,0.0
A2,2029,单季,11,0.0
A2,2029,单季,12,2.25
A2,2029,单季,13,0.0
A2,2029,单季,14,0.0
A2,2029,单季,15,0.0
A2,2030,单季,1,0.0
A2,2030,单季,2,0.0
A2,2030,单季,3,0.0
A2,2030,单季,4,55.0
A2,2030,单季,5,0.0
A2,2030,单季,6,0.0
A2,2030,单季,7,0.0
A2,2030,单季,8,0.0
A2,2030,单季,9,0.0
A2,2030,单季,10,0.0
A2,2030,单季,11,0.0
A2,2030,单季,12,0.0
A2,2030,单季,13,0.0
A2,2030,单季,14,0.0
A2,2030,单季,15,0.0
A3,2024,单季,1,0.0
A3,2024,单季,2,0.0
A3,2024,单季,3,0.0
A3,2024,单季,4,0.0
A3,2024,单季,5,0.0
A3,2024,单季,6,23.3
A3,2024,单季,7,0.0
A3,2024,单季,8,0.0
A3,2024,单季,9,0.0
A3,2024,单季,10,0.0
A3,2024,单季,11,0.0
A3,2024,单季,12,11.7
A3,2024,单季,13,0.0
A3,2024,单季,14,0.0
A3,2024,单季,15,0.0
A3,2025,单季,1,0.0
A3,2025,单季,2,0.0
A3,2025,单季,3,0.0
A3,2025,单季,4,35.0
A3,2025,单季,5,0.0
A3,2025,单季,6,0.0
A3,2025,单季,7,0.0
A3,2025,单季,8,0.0
A3,2025,单季,9,0.0
A3,2025,单季,10,0.0
A3,2025,单季,11,0.0
A3,2025,单季,12,0.0
A3,2025,单季,13,0.0
A3,2025,单季,14,0.0
A3,2025,单季,15,0.0
A3,2026,单季,1,0.0
A3,2026,单季,2,0.0
A3,2026,单季,3,0.0
A3,2026,单季,4,0.0
A3,2026,单季,5,0.0
A3,2026,单季,6,0.0
A3,2026,单季,7,35.0
A3,2026,单季,8,0.0
A3,2026,单季,9,0.0
A3,2026,单季,10,0.0
A3,2026,单季,11,0.0
A3,2026,单季,12,0.0
A3,2026,单季,13,0.0
A3,2026,单季,14,0.0
A3,2026,单季,15,0.0
A3,2027,单季,1,0.0
A3,2027,单季,2,0.0
A3,2027,单季,3,0.0
A3,2027,单季,4,0.0
A3,2027,单季,5,0.0
A3,2027,单季,6,35.0
A3,2027,单季,7,0.0
A3,2027,单季,8,0.0
A3,2027,单季,9,0.0
A3,2027,单季,10,0.0
A3,2027,单季,11,0.0
A3,2027,单季,12,0.0
A3,2027,单季,13,0.0
A3,2027,单季,14,0.0
A3,2027,单季,15,0.0
A3,2028,单季,1,35.0
A3,2028,单季,2,0.0
A3,2028,单季,3,0.0
A3,2028,单季,4,0.0
A3,2028,单季,5,0.0
A3,2028,单季,6,0.0
A3,2028,单季,7,0.0
A3,2028,单季,8,0.0
A3,2028,单季,9,0.0
A3,2028,单季,10,0.0
A3,2028,单季,11,0.0
A3,2028,单季,12,0.0
A3,2028,单季,13,0.0
A3,2028,单季,14,0.0
A3,2028,单季,15,0.0
A3,2029,单季,1,0.0
A3,2029,单季,2,0.0
A3,2029,单季,3,0.0
A3,2029,单季,4,0.0
A3,2029,单季,5,0.0
A3,2029,单季,6,35.0
A3,2029,单季,7,0.0
A3,2029,单季,8,0.0
A3,2029,单季,9,0.0
A3,2029,单季,10,0.0
A3,2029,单季,11,0.0
A3,2029,单季,12,0.0
A3,2029,单季,13,0.0
A3,2029,单季,14,0.0
A3,2029,单季,15,0.0
A3,2030,单季,1,0.0
A3,2030,单季,2,0.0
A3,2030,单季,3,0.0
A3,2030,单季,4,0.0
A3,2030,单季,5,0.0
A3,2030,单季,6,0.0
A3,2030,单季,7,0.0
A3,2030,单季,8,0.0
A3,2030,单季,9,0.0
A3,2030,单季,10,0.0
A3,2030,单季,11,0.0
A3,2030,单季,12,11.7
A3,2030,单季,13,16.363636363636363
A3,2030,单季,14,0.0
A3,2030,单季,15,0.0
A4,2024,单季,1,0.0
A4,2024,单季,2,0.0
A4,2024,单季,3,0.0
A4,2024,单季,4,0.0
A4,2024,单季,5,0.0
A4,2024,单季,6,72.0
