year,crop_id,plot_type,season,demand,yield_per_mu,cost_per_mu,price
2024,1,山坡地,单季,57000.0,360.0,400.0,3.25
2024,1,平旱地,单季,57000.0,400.0,400.0,3.25
2024,1,梯田,单季,57000.0,380.0,400.0,3.25
2024,2,山坡地,单季,21850.0,450.0,400.0,7.5
2024,2,平旱地,单季,21850.0,500.0,400.0,7.5
2024,2,梯田,单季,21850.0,475.0,400.0,7.5
2024,3,山坡地,单季,22400.0,360.0,350.0,8.25
2024,3,平旱地,单季,22400.0,400.0,350.0,8.25
2024,3,梯田,单季,22400.0,380.0,350.0,8.25
2024,4,山坡地,单季,33040.0,315.0,350.0,7.0
2024,4,平旱地,单季,33040.0,350.0,350.0,7.0
2024,4,梯田,单季,33040.0,330.0,350.0,7.0
2024,5,山坡地,单季,9875.0,375.0,350.0,6.75
2024,5,平旱地,单季,9875.0,415.0,350.0,6.75
2024,5,梯田,单季,9875.0,395.0,350.0,6.75
2024,6,山坡地,单季,170840.0,720.0,450.0,3.5
2024,6,平旱地,单季,170840.0,800.0,450.0,3.5
2024,6,梯田,单季,170840.0,760.0,450.0,3.5
2024,7,山坡地,单季,132750.0,900.0,500.0,3.0
2024,7,平旱地,单季,132750.0,1000.0,500.0,3.0
2024,7,梯田,单季,132750.0,950.0,500.0,3.0
2024,8,山坡地,单季,71400.0,360.0,360.0,6.75
2024,8,平旱地,单季,71400.0,400.0,360.0,6.75
2024,8,梯田,单季,71400.0,380.0,360.0,6.75
2024,9,山坡地,单季,30000.0,570.0,400.0,6.0
2024,9,平旱地,单季,30000.0,630.0,400.0,6.0
2024,9,梯田,单季,30000.0,600.0,400.0,6.0
2024,10,山坡地,单季,12500.0,475.0,360.0,7.5
2024,10,平旱地,单季,12500.0,525.0,360.0,7.5
2024,10,梯田,单季,12500.0,500.0,360.0,7.5
2024,11,山坡地,单季,1500.0,100.0,350.0,40.0
2024,11,平旱地,单季,1500.0,110.0,350.0,40.0
2024,11,梯田,单季,1500.0,105.0,350.0,40.0
2024,12,山坡地,单季,35100.0,2700.0,1000.0,1.5
2024,12,平旱地,单季,35100.0,3000.0,1000.0,1.5
2024,12,梯田,单季,35100.0,2850.0,1000.0,1.5
2024,13,山坡地,单季,36000.0,2000.0,2000.0,3.25
2024,13,平旱地,单季,36000.0,2200.0,2000.0,3.25
2024,13,梯田,单季,36000.0,2100.0,2000.0,3.25
2024,14,山坡地,单季,14000.0,380.0,400.0,5.5
2024,14,平旱地,单季,14000.0,420.0,400.0,5.5
2024,14,梯田,单季,14000.0,400.0,400.0,5.5
2024,15,山坡地,单季,10000.0,475.0,350.0,3.5
2024,15,平旱地,单季,10000.0,525.0,350.0,3.5
2024,15,梯田,单季,10000.0,500.0,350.0,3.5
2024,16,水浇地,单季,21000.0,500.0,680.0,7.0
2024,17,普通大棚,第一季,36480.0,3600.0,2400.0,8.0
2024,17,智慧大棚,第一季,36480.0,3600.0,2400.0,8.0
2024,17,智慧大棚,第二季,0.0,3200.0,2640.0,9.600000000000001
