scenario_id,objective,normal_revenue,excess_revenue,planting_cost,total_production,normal_sales,excess_sales
0,33172278.765298877,38968172.5451207,0.0,5795893.779821823,7553682.271322967,6816803.15457012,736879.1167528465
1,32965915.850592397,38746188.90111518,0.0,5780273.050522782,7590239.26362718,6809393.329919795,780845.9337073856
2,33279883.59224096,39070112.70815567,0.0,5790229.11591471,7549692.429099467,6824762.652239239,724929.7768602283
3,33255869.008040793,39050882.5368029,0.0,5795013.52876211,7472871.776939121,6752916.067813973,719955.7091251484
4,33622121.18705809,39424932.24835695,0.0,5802811.06129886,7523797.070542064,6809786.562788547,714010.5077535168
5,33485038.374615178,39289124.40647119,0.0,5804086.031856017,7541571.95217837,6856508.833576109,685063.118602261
6,33137355.759358503,38923199.56728317,0.0,5785843.807924664,7509976.692105092,6770099.180772477,739877.511332615
7,33137097.195662316,38914307.21768139,0.0,5777210.022019077,7585009.6617717985,6803966.107340048,781043.5544317495
8,33300900.245493125,39074073.67502014,0.0,5773173.429527019,7511026.380921477,6840155.4692894835,670870.9116319934
9,33681822.572907306,39470857.28008407,0.0,5789034.707176767,7652659.2422493305,6890300.048253925,762359.1939954059
10,33007847.0056002,38811391.81691523,0.0,5803544.811315029,7477165.61082916,6818086.878310005,659078.7325191544
11,33296140.00264508,39108572.2902707,0.0,5812432.287625621,7513138.229967504,6850061.352361724,663076.877605781
12,33149734.379466742,38956250.60187085,0.0,5806516.2224041065,7500202.810377011,6779806.565647443,720396.2447295685
13,33571737.83124494,39358263.10619804,0.0,5786525.274953107,7554057.478161074,6890977.251276391,663080.2268846829
14,33349416.387384396,39150610.179662555,0.0,5801193.792278159,7576469.476194105,6847138.77559085,729330.7006032551
15,33334429.192924034,39147581.14313428,0.0,5813151.950210246,7590220.762923255,6856800.248765627,733420.5141576277
16,33466119.378535844,39254136.73092925,0.0,5788017.3523934055,7490495.775368998,6797824.255848512,692671.5195204853
17,32975321.571592152,38767054.328564,0.0,5791732.756971853,7482110.616492618,6735359.7426611,746750.8738315182
18,33213225.276645407,39007612.65283121,0.0,5794387.3761858065,7528619.33631671,6851216.878865442,677402.4574512686
19,33273116.08998388,39033303.32124471,0.0,5760187.231260828,7479752.22907353,6805028.274061052,674723.9550124779
20,33322460.09261679,39127431.63130333,0.0,5804971.538686544,7600520.173191259,6858281.25620438,742238.9169868785
21,33317683.974861573,39115367.84615378,0.0,5797683.871292208,7568486.379627151,6809845.814906707,758640.5647204446
22,33139856.645688176,38915576.50832418,0.0,5775719.862636008,7532097.742204076,6859760.99535859,672336.7468454863
23,33195417.381957088,39005751.299136244,0.0,5810333.917179155,7591528.653733967,6766137.510892697,825391.1428412707
24,33043044.03629069,38824955.733419836,0.0,5781911.697129147,7500693.340022182,6792883.869326888,707809.470695294
25,33013845.132146377,38821933.86231599,0.0,5808088.730169614,7472720.454485266,6777804.76428657,694915.6901986946
26,33020227.101140562,38799736.86315018,0.0,5779509.762009616,7573962.724525421,6877585.609081283,696377.1154441375
27,32922217.322891563,38705305.73798227,0.0,5783088.415090708,7536178.607272198,6786430.426000625,749748.1812715731
28,33289761.657889146,39095005.4182996,0.0,5805243.760410454,7540240.154880896,6816914.605446233,723325.5494346621
