scenario_id,objective,normal_revenue,excess_revenue,planting_cost,total_production,normal_sales,excess_sales
0,32605759.817903645,38414939.14058801,0.0,5809179.322684361,7493046.052593534,6729339.076683909,763706.975909625
1,32853587.139907964,38657706.11202485,0.0,5804118.972116888,7501792.481017999,6746341.983862749,755450.4971552505
2,33293919.086030662,39096233.27534256,0.0,5802314.189311898,7553996.240081862,6837061.783409892,716934.4566719696
3,33130364.360678647,38929922.15777654,0.0,5799557.797097894,7500055.27148668,6824526.048269486,675529.2232171943
4,33539987.389347035,39314463.48861014,0.0,5774476.099263106,7531443.784323582,6798266.7493418325,733177.0349817497
5,33151297.179005254,38936926.69088944,0.0,5785629.511884186,7525126.819017845,6809118.481533039,716008.3374848049
6,33018674.025604255,38774872.39916091,0.0,5756198.373556653,7493393.641849585,6787746.598102344,705647.043747241
7,33386147.382754542,39175293.46277787,0.0,5789146.080023327,7565041.475849047,6830163.104564771,734878.3712842755
8,33644194.61567412,39428275.66418108,0.0,5784081.048506957,7567492.18131016,6830458.833903246,737033.3474069156
9,33473799.18590631,39258301.396648005,0.0,5784502.210741694,7469172.097988753,6824821.575839862,644350.5221488904
10,33479672.249124795,39258949.673488125,0.0,5779277.424363328,7537448.016330391,6850924.81062624,686523.2057041521
11,33026743.02941405,38818990.35330442,0.0,5792247.323890371,7531808.288755874,6792263.469339037,739544.8194168366
12,33382616.16913978,39190583.479513675,0.0,5807967.310373896,7560276.91812984,6864849.253156355,695427.664973485
13,33630522.5999667,39402926.50770092,0.0,5772403.907734223,7607988.919720926,6898983.189026415,709005.730694511
14,33159550.392934777,38959537.991867706,0.0,5799987.598932931,7558988.696057616,6857100.653565481,701888.0424921333
15,33138189.324650366,38929604.29873301,0.0,5791414.974082645,7605512.540464504,6847401.032465957,758111.5079985472
16,33058701.280658245,38841629.04754697,0.0,5782927.766888725,7453393.234732816,6791302.675024146,662090.55970867
17,33345323.686878063,39127959.93570918,0.0,5782636.2488311175,7596394.859208705,6870805.312844297,725589.546364408
18,33403878.65716379,39202091.276374504,0.0,5798212.619210711,7552991.381801116,6837209.453182071,715781.9286190444
19,33252434.828563645,39058751.851973355,0.0,5806317.023409709,7504215.267899152,6777878.099368017,726337.1685311343
20,33395828.474592168,39198243.6359887,0.0,5802415.1613965295,7584334.152540613,6841732.627340529,742601.5252000832
21,33549607.823371917,39353266.71580959,0.0,5803658.892437676,7541427.870785344,6827424.719463527,714003.1513218182
22,33068867.32454606,38863416.5969098,0.0,5794549.272363737,7525705.009155262,6794355.852821136,731349.1563341275
23,33310166.141115222,39078771.70452196,0.0,5768605.56340674,7546352.467228558,6824040.2671126835,722312.2001158753
24,32931138.565367267,38724611.672006294,0.0,5793473.106639026,7514699.662500726,6798713.170572226,715986.4919285006
25,33103385.397107717,38894752.8558736,0.0,5791367.458765884,7480806.26051455,6773017.60724721,707788.6532673386
26,33555057.15445552,39360069.83979908,0.0,5805012.685343557,7532561.020107144,6825068.707948139,707492.3121590042
27,33217406.195832178,38992610.020746276,0.0,5775203.824914098,7503105.827689189,6769930.240162779,733175.5875264117
28,33235369.476159904,39020038.16041818,0.0,5784668.684258278,7549990.650734965,6815577.466082152,734413.1846528128
29,33468911.959548943,39252141.229554385,0.0,5783229.270005444,7613408.504351728,6866564.62269946,746843.8816522686
30,32919823.687511455,38714030.4838665,0.0,5794206.796355042,7498665.665282146,6753585.81211222,745079.8531699269
31,33128995.878015675,38927133.479600556,0.0,5798137.601584883,7561546.161633678,6797672.627539159,763873.5340945185
32,33371306.864908367,39149846.842554025,0.0,5778539.977645658,7555798.476476549,6852007.65481333,703790.8216632198
33,33734038.31365098,39552822.22251867,0.0,5818783.908867685,7559973.001056281,6895653.497886993,664319.5031692877
34,33664585.25866471,39476305.95543405,0.0,5811720.696769331,7534663.596220342,6839709.882235099,694953.7139852439
35,33093285.370432537,38887462.47934044,0.0,5794177.1089079045,7523976.436936118,6778326.337335831,745650.0996002876
36,33234217.71178473,39006721.9514887,0.0,5772504.239703972,7531572.329437248,6810269.553636452,721302.7758007976
37,32909469.52678052,38704143.54538624,0.0,5794674.01860572,7490381.76222831,6782874.641488507,707507.1207398027
38,33252798.236794353,39039551.58574383,0.0,5786753.348949479,7530284.495810462,6831949.660056673,698334.8357537896
39,33138778.339625005,38943100.94698373,0.0,5804322.607358727,7549449.746420467,6753979.523851126,795470.2225693411
40,33249613.336213067,39033956.61406912,0.0,5784343.27785605,7527630.829230491,6804228.72798897,723402.101241521
41,33614624.73586576,39423045.00005826,0.0,5808420.2641925085,7589599.203867839,6837250.89076954,752348.3130982983
42,32576657.929116562,38364062.310314104,0.0,5787404.381197542,7499849.422199063,6749563.933671127,750285.4885279365
43,33309650.134600423,39107799.05126444,0.0,5798148.916664018,7455750.601096857,6714078.861200283,741671.7398965734
