year,crop_id,plot_type,season,demand,yield_per_mu,cost_per_mu,price
2024,1,山坡地,单季,57000.0,342.0,420.0,3.25
2024,1,平旱地,单季,57000.0,380.0,420.0,3.25
2024,1,梯田,单季,57000.0,361.0,420.0,3.25
2024,2,山坡地,单季,21850.0,427.5,420.0,7.5
2024,2,平旱地,单季,21850.0,475.0,420.0,7.5
2024,2,梯田,单季,21850.0,451.25,420.0,7.5
2024,3,山坡地,单季,22400.0,342.0,367.5,8.25
2024,3,平旱地,单季,22400.0,380.0,367.5,8.25
2024,3,梯田,单季,22400.0,361.0,367.5,8.25
2024,4,山坡地,单季,33040.0,299.25,367.5,7.0
2024,4,平旱地,单季,33040.0,332.5,367.5,7.0
2024,4,梯田,单季,33040.0,313.5,367.5,7.0
2024,5,山坡地,单季,9875.0,356.25,367.5,6.75
2024,5,平旱地,单季,9875.0,394.25,367.5,6.75
2024,5,梯田,单季,9875.0,375.25,367.5,6.75
2024,6,山坡地,单季,183653.0,684.0,472.5,3.5
2024,6,平旱地,单季,183653.0,760.0,472.5,3.5
2024,6,梯田,单季,183653.0,722.0,472.5,3.5
2024,7,山坡地,单季,142706.25,855.0,525.0,3.0
2024,7,平旱地,单季,142706.25,950.0,525.0,3.0
2024,7,梯田,单季,142706.25,902.5,525.0,3.0
2024,8,山坡地,单季,71400.0,342.0,378.0,6.75
2024,8,平旱地,单季,71400.0,380.0,378.0,6.75
2024,8,梯田,单季,71400.0,361.0,378.0,6.75
2024,9,山坡地,单季,30000.0,541.5,420.0,6.0
2024,9,平旱地,单季,30000.0,598.5,420.0,6.0
2024,9,梯田,单季,30000.0,570.0,420.0,6.0
2024,10,山坡地,单季,12500.0,451.25,378.0,7.5
2024,10,平旱地,单季,12500.0,498.75,378.0,7.5
2024,10,梯田,单季,12500.0,475.0,378.0,7.5
2024,11,山坡地,单季,1500.0,95.0,367.5,40.0
2024,11,平旱地,单季,1500.0,104.5,367.5,40.0
2024,11,梯田,单季,1500.0,99.75,367.5,40.0
2024,12,山坡地,单季,35100.0,2565.0,1050.0,1.5
2024,12,平旱地,单季,35100.0,2850.0,1050.0,1.5
2024,12,梯田,单季,35100.0,2707.5,1050.0,1.5
2024,13,山坡地,单季,36000.0,1900.0,2100.0,3.25
2024,13,平旱地,单季,36000.0,2090.0,2100.0,3.25
2024,13,梯田,单季,36000.0,1995.0,2100.0,3.25
2024,14,山坡地,单季,14000.0,361.0,420.0,5.5
2024,14,平旱地,单季,14000.0,399.0,420.0,5.5
2024,14,梯田,单季,14000.0,380.0,420.0,5.5
2024,15,山坡地,单季,10000.0,451.25,367.5,3.5
2024,15,平旱地,单季,10000.0,498.75,367.5,3.5
2024,15,梯田,单季,10000.0,475.0,367.5,3.5
2024,16,水浇地,单季,21000.0,475.0,714.0,7.0
2024,17,普通大棚,第一季,36480.0,3420.0,2520.0,8.4
2024,17,智慧大棚,第一季,36480.0,3420.0,2520.0,8.4
2024,17,智慧大棚,第二季,0.0,3040.0,2772.0,10.080000000000002
2024,17,水浇地,第一季,36480.0,2850.0,2100.0,8.4
2024,18,普通大棚,第一季,26880.0,2280.0,1260.0,7.0875
2024,18,智慧大棚,第一季,26880.0,2280.0,1260.0,7.0875
2024,18,智慧大棚,第二季,0.0,2090.0,1386.0,8.505
2024,18,水浇地,第一季,26880.0,1900.0,1050.0,7.0875
2024,19,普通大棚,第一季,6480.0,3420.0,2520.0,6.825
2024,19,智慧大棚,第一季,6480.0,3420.0,2520.0,6.825
2024,19,智慧大棚,第二季,0.0,3040.0,2772.0,8.19
2024,19,水浇地,第一季,6480.0,2850.0,2100.0,6.825
2024,20,普通大棚,第一季,30000.0,2280.0,2520.0,3.9375
2024,20,智慧大棚,第一季,30000.0,2280.0,2520.0,3.9375
2024,20,智慧大棚,第二季,0.0,2090.0,2772.0,4.7250000000000005
2024,20,水浇地,第一季,30000.0,1900.0,2100.0,3.9375
2024,21,普通大棚,第一季,35400.0,2850.0,2520.0,6.5625
2024,21,智慧大棚,第一季,35400.0,2850.0,2520.0,6.5625
2024,21,智慧大棚,第二季,810.0,2565.0,2772.0,7.875
2024,21,水浇地,第一季,35400.0,2280.0,2100.0,6.5625
2024,22,普通大棚,第一季,43200.0,7600.0,2520.0,5.775
2024,22,智慧大棚,第一季,43200.0,7600.0,2520.0,5.775
2024,22,智慧大棚,第二季,2160.0,6840.0,2772.0,6.93
