scenario_id,objective,normal_revenue,excess_revenue,planting_cost,total_production,normal_sales,excess_sales
0,21256949.346475743,25629369.09795265,0.0,4372419.751476908,4937426.73706317,4099169.1412099944,838257.5958531776
1,20805817.38727346,25162937.81826651,0.0,4357120.430993049,4935523.115127753,4058882.9025331982,876640.2125945546
2,21188176.732017055,25558575.840728227,0.0,4370399.108711174,4910096.154721481,4071841.5483895214,838254.6063319582
3,21015299.355303608,25398251.82888928,0.0,4382952.473585675,4913854.795865223,4003907.88015873,909946.915706493
4,21098787.385720506,25484728.84530628,0.0,4385941.459585774,4982003.736342081,4056792.0448328094,925211.6915092723
5,21047784.87650439,25430966.216816477,0.0,4383181.340312084,4915939.381088102,4072739.366059871,843200.0150282308
6,20982290.77729073,25337662.078901038,0.0,4355371.301610308,4933038.624870743,4047639.941819142,885398.6830516028
7,21016283.598590672,25378208.323715217,0.0,4361924.725124544,4964885.849803613,4049963.247819045,914922.6019845671
8,20978755.98485402,25319824.107804317,0.0,4341068.122950297,4950424.179052366,4060351.8822240853,890072.2968282811
9,21794974.731819693,26149677.422646686,0.0,4354702.690826994,5074077.66032334,4165692.14309048,908385.517232861
10,21041604.160614386,25413506.308968067,0.0,4371902.148353682,4897407.339391102,4035878.4980460973,861528.8413450061
11,20998267.45158414,25369411.442826472,0.0,4371143.99124233,4937908.176425754,4088121.991146046,849786.1852797074
12,21050209.84488333,25431878.685945403,0.0,4381668.841062074,4946080.872954728,4069148.206776714,876932.6661780132
13,21287282.77072028,25658267.08769552,0.0,4370984.316975238,5023891.63660859,4095065.8045340534,928825.8320745372
14,21197014.01919596,25553513.38002541,0.0,4356499.36082945,5002824.312731487,4107454.7788058007,895369.5339256858
15,21386377.238785483,25781174.820833687,0.0,4394797.582048204,5032668.597668452,4139287.198606647,893381.399061806
16,21287141.599003017,25631881.419250056,0.0,4344739.820247038,4935274.442779987,4050347.9485381097,884926.4942418771
17,21229842.759019792,25607582.720991567,0.0,4377739.961971777,4906565.417881597,4032070.323991006,874495.0938905908
18,21006767.44292961,25372665.188977554,0.0,4365897.746047943,4961543.000716091,4028881.5654757363,932661.4352403551
19,20774799.29938327,25117435.231230363,0.0,4342635.931847091,4864416.947449881,3981872.5647073705,882544.3827425104
20,21126983.27316093,25500569.01879798,0.0,4373585.745637049,4992777.160663641,4095757.6302833376,897019.5303803014
21,21280267.904873386,25658381.283180326,0.0,4378113.378306942,4982391.919121138,4073202.199960428,909189.7191607091
22,21454263.350369845,25791094.456982702,0.0,4336831.106612857,4965684.746007217,4149693.069962798,815991.6760444187
23,21343939.18777384,25730009.84372223,0.0,4386070.655948392,4918007.705845922,4085447.79072038,832559.9151255422
24,20930425.157929488,25314552.835897237,0.0,4384127.6779677505,4916380.875923752,4019447.6318895672,896933.2440341824
25,20576624.648723893,24963945.34554836,0.0,4387320.696824467,4914210.416081053,3975995.508934629,938214.9071464229
26,21078290.254891012,25427342.261295788,0.0,4349052.006404776,4973748.924841282,4103280.5823461837,870468.3424950984
27,21058914.522905294,25430482.424484715,0.0,4371567.90157942,4978842.333034144,4073828.887514327,905013.445519815
28,21267029.09206186,25636089.4179539,0.0,4369060.325892042,4979199.913895864,4122002.839775989,857197.0741198744
29,21179693.20964617,25528607.10360094,0.0,4348913.893954772,4929946.909445023,4044131.769495761,885815.1399492621
30,21235522.68492835,25591721.22001556,0.0,4356198.535087208,4986869.947536041,4102841.096409792,884028.8511262472
31,20939432.625610586,25272844.574820794,0.0,4333411.949210208,4930107.562099686,4056393.248408483,873714.3136912028
32,21214023.28328571,25584736.948439397,0.0,4370713.665153687,4943947.875266064,4079403.1917175404,864544.6835485233
33,21191535.85043793,25555238.696022887,0.0,4363702.845584954,4990960.210490685,4093748.5363660236,897211.6741246604
34,20981837.522033647,25386009.746931694,0.0,4404172.224898046,4944470.485568317,4078069.375152254,866401.1104160617
35,20982602.864752885,25333648.985678114,0.0,4351046.120925229,4904086.483293845,4016578.9974652226,887507.4858286207
36,21112146.703008585,25429236.643569738,0.0,4317089.940561151,4999529.965336615,4081722.8883481696,917807.0769884441
37,21262514.180252463,25618748.762952093,0.0,4356234.58269963,4987654.279310708,4090088.893028874,897565.3862818333
38,22072154.55849415,26414437.48309712,0.0,4342282.9246029705,5045519.094390543,4190300.4463786217,855218.6480119219
39,21177824.16873754,25564207.54808176,0.0,4386383.379344219,4968961.119857845,4068099.9262796924,900861.1935781525
40,21070347.5582349,25447582.240167297,0.0,4377234.681932399,4907473.071752804,4055085.8650652296,852387.2066875751
41,21406346.975513987,25776711.824006055,0.0,4370364.848492066,4904483.310622563,4064567.9884490287,839915.3221735354
42,21087605.375613842,25444409.19049196,0.0,4356803.814878117,4999559.118419765,4076162.262237133,923396.8561826323
43,21146389.503325414,25506780.39571327,0.0,4360390.892387855,4955852.349586351,4025398.8280316964,930453.5215546538
44,21368161.326021962,25750031.254601862,0.0,4381869.9285799,4957083.485259881,4090605.2087819357,866478.2764779443
45,20933330.909038793,25292812.330548033,0.0,4359481.421509241,4920680.915194803,4031371.1648574313,889309.7503373729
46,20986065.90207886,25359842.001103252,0.0,4373776.099024391,4992912.158859133,4051451.6860627383,941460.4727963957
47,21207648.160855822,25581518.428283606,0.0,4373870.267427783,4969422.314228023,4074506.028749472,894916.2854785515
48,20754711.37146319,25088524.807202697,0.0,4333813.435739505,4881738.38055861,3975434.098564603,906304.2819940078
49,21119637.775087208,25479827.434820946,0.0,4360189.659733737,4979959.635678883,4119876.912262577,860082.7234163079
50,21204046.753636822,25568694.348135754,0.0,4364647.594498931,4965268.026828499,4061705.0720140184,903562.954814479
51,21608987.72612674,25978818.31997824,0.0,4369830.593851499,4981614.467130009,4173417.282002563,808197.1851274455
52,20998165.006650258,25364783.239096094,0.0,4366618.232445837,4942377.392351151,4024062.015097574,918315.3772535769
53,21275493.254950974,25648900.53619313,0.0,4373407.281242154,5003272.039143366,4110994.944211502,892277.0949318642
54,21365628.764030933,25711465.031923525,0.0,4345836.2678925935,4960772.552368986,4075502.9571065404,885269.5952624461
55,20943520.122383017,25307783.392890003,0.0,4364263.270506985,4971197.06160707,4083892.634929477,887304.4266775926
56,21099734.091172446,25464283.90938744,0.0,4364549.818214995,4934189.979173608,4053412.535998018,880777.4431755908
57,21356908.359812476,25711407.668350324,0.0,4354499.308537846,4936125.676234282,4090974.846640997,845150.8295932834
58,21344524.752246242,25710706.19518065,0.0,4366181.442934408,4959007.485115275,4100529.9031945346,858477.5819207405
59,21139346.879439913,25507412.517968524,0.0,4368065.6385286115,4948378.368181615,4082447.5341313477,865930.8340502674
