scenario_id,objective,normal_revenue,excess_revenue,planting_cost,total_production,normal_sales,excess_sales
0,20658175.881310903,24866777.10874379,0.0,4208601.227432888,4791491.5726576615,3846252.9564178493,945238.6162398127
1,20747950.592988502,24952284.20193443,0.0,4204333.6089459285,4798593.637161863,3843994.59673806,954599.0404238031
2,20818894.68351529,25050781.886283807,0.0,4231887.202768516,4876954.615616098,3863126.3410755945,1013828.2745405054
3,20833832.0884041,25056763.18791151,0.0,4222931.09950741,4821546.755860458,3856710.9816563968,964835.7742040601
4,20993586.833438255,25193080.344881173,0.0,4199493.51144292,4848395.763235088,3832989.345982002,1015406.4172530865
5,20873217.088660482,25079891.22592037,0.0,4206674.137259888,4845677.0216866415,3856304.121330304,989372.9003563367
6,20867647.9203382,25044465.75045371,0.0,4176817.8301155106,4836931.8848298015,3880926.339218477,956005.5456113233
7,20812256.30071553,25029931.22518273,0.0,4217674.9244672,4809525.180696053,3813970.7849917915,995554.3957042628
8,20943676.605318293,25130956.392571963,0.0,4187279.7872536695,4835752.415267207,3835960.441746058,999791.9735211493
9,20743472.92238783,24947674.23783599,0.0,4204201.315448159,4828870.718965036,3803625.312636625,1025245.4063284107
10,21113099.73420008,25314403.715151437,0.0,4201303.980951359,4822269.414101269,3856669.510166463,965599.9039348061
11,20814315.602957983,25003538.232819416,0.0,4189222.629861434,4815484.023594109,3873126.821537922,942357.202056188
12,21072360.862339288,25286610.65607247,0.0,4214249.793733185,4823902.051229205,3860067.365206881,963834.6860223247
13,20641967.98269181,24805120.44930979,0.0,4163152.4666179777,4796559.097225549,3828274.5832580486,968284.5139675001
14,20888785.091086894,25097491.310755815,0.0,4208706.219668922,4806056.000476329,3862608.750843848,943447.2496324801
15,20775674.27488158,24996379.545921147,0.0,4220705.271039566,4871235.28684447,3879558.1216075583,991677.1652369112
16,20789263.769235343,25001636.736110575,0.0,4212372.966875235,4780097.7865269035,3818669.896751197,961427.8897757067
