year,crop_id,plot_type,season,demand,yield_per_mu,cost_per_mu,price
2024,1,山坡地,单季,54695.80785366525,331.52258712073683,435.57478105927845,3.25
2024,1,平旱地,单季,54695.80785366525,368.35843013415206,435.57478105927845,3.25
2024,1,梯田,单季,54695.80785366525,349.94050862744444,435.57478105927845,3.25
2024,2,山坡地,单季,20983.650347256178,412.399139912193,431.5989113306802,7.5
2024,2,平旱地,单季,20983.650347256178,458.22126656910336,431.5989113306802,7.5
2024,2,梯田,单季,20983.650347256178,435.3102032406482,431.5989113306802,7.5
2024,3,山坡地,单季,21474.517202867846,333.3346939508666,378.7230794082757,8.25
2024,3,平旱地,单季,21474.517202867846,370.37188216762956,378.7230794082757,8.25
2024,3,梯田,单季,21474.517202867846,351.8532880592481,378.7230794082757,8.25
2024,4,山坡地,单季,31687.698247589964,288.76446577978396,379.1699297055467,7.0
2024,4,平旱地,单季,31687.698247589964,320.8494064219822,379.1699297055467,7.0
2024,4,梯田,单季,31687.698247589964,302.5151546264404,379.1699297055467,7.0
2024,5,山坡地,单季,9449.245720328765,345.50736678482644,380.5394781912512,6.75
2024,5,平旱地,单季,9449.245720328765,382.3614859085413,380.5394781912512,6.75
2024,5,梯田,单季,9449.245720328765,363.93442634668384,380.5394781912512,6.75
2024,6,山坡地,单季,179369.7453032592,666.6067505784306,488.38725279357936,3.5
2024,6,平旱地,单季,179369.7453032592,740.6741673093672,488.38725279357936,3.5
2024,6,梯田,单季,179369.7453032592,703.6404589438989,488.38725279357936,3.5
2024,7,山坡地,单季,140030.21266326608,822.9551418092565,542.7247308395066,3.0
2024,7,平旱地,单季,140030.21266326608,914.394602010285,542.7247308395066,3.0
2024,7,梯田,单季,140030.21266326608,868.6748719097708,542.7247308395066,3.0
2024,8,山坡地,单季,68422.21184522352,330.30759774786384,388.52054079429433,6.75
2024,8,平旱地,单季,68422.21184522352,367.008441942071,388.52054079429433,6.75
2024,8,梯田,单季,68422.21184522352,348.6580198449674,388.52054079429433,6.75
2024,9,山坡地,单季,28801.581822043143,529.2147395156217,433.20067914052356,6.0
2024,9,平旱地,单季,28801.581822043143,584.9215542014765,433.20067914052356,6.0
2024,9,梯田,单季,28801.581822043143,557.068146858549,433.20067914052356,6.0
2024,10,山坡地,单季,11936.174515602897,440.2750751287407,388.0438606996756,7.5
2024,10,平旱地,单季,11936.174515602897,486.6198198791344,388.0438606996756,7.5
2024,10,梯田,单季,11936.174515602897,463.44744750393755,388.0438606996756,7.5
2024,11,山坡地,单季,1438.6215888586107,91.90050471736875,379.00049189296976,40.0
2024,11,平旱地,单季,1438.6215888586107,101.09055518910563,379.00049189296976,40.0
2024,11,梯田,单季,1438.6215888586107,96.49552995323718,379.00049189296976,40.0
2024,12,山坡地,单季,33633.813510622764,2507.2619550701324,1087.543539609888,1.5
2024,12,平旱地,单季,33633.813510622764,2785.8466167445918,1087.543539609888,1.5
2024,12,梯田,单季,33633.813510622764,2646.554285907362,1087.543539609888,1.5
2024,13,山坡地,单季,34540.88476957162,1849.7034914087362,2159.1629578530806,3.25
2024,13,平旱地,单季,34540.88476957162,2034.6738405496098,2159.1629578530806,3.25
2024,13,梯田,单季,34540.88476957162,1942.188665979173,2159.1629578530806,3.25
2024,14,山坡地,单季,13442.370495374416,349.90114559984096,435.1093003565677,5.5
2024,14,平旱地,单季,13442.370495374416,386.7328451366663,435.1093003565677,5.5
2024,14,梯田,单季,13442.370495374416,368.31699536825363,435.1093003565677,5.5
2024,15,山坡地,单季,9580.655852226768,437.39747891795076,378.5795702327628,3.5
2024,15,平旱地,单季,9580.655852226768,483.43931880405086,378.5795702327628,3.5
2024,15,梯田,单季,9580.655852226768,460.41839886100087,378.5795702327628,3.5
2024,16,水浇地,单季,20128.594022374506,459.1692109811735,740.5828591707066,7.0
2024,17,普通大棚,第一季,35102.04300487088,3301.140117187619,2600.6915142490366,8.24
2024,17,智慧大棚,第一季,35102.04300487088,3301.140117187619,2600.6915142490366,8.24
2024,17,智慧大棚,第二季,0.0,2934.3467708334388,2860.76066567394,9.888000000000002
2024,17,水浇地,第一季,35102.04300487088,2750.950097656349,2167.242928540864,8.24
2024,18,普通大棚,第一季,25775.62935940509,2195.5076169840822,1299.5446860004627,6.952500000000001
2024,18,智慧大棚,第一季,25775.62935940509,2195.5076169840822,1299.5446860004627,6.952500000000001
2024,18,智慧大棚,第二季,0.0,2012.5486489020752,1429.499154600509,8.343
2024,18,水浇地,第一季,25775.62935940509,1829.5896808200687,1082.9539050003857,6.952500000000001
2024,19,普通大棚,第一季,6224.211608163382,3306.462944379275,2612.967885003152,6.695
2024,19,智慧大棚,第一季,6224.211608163382,3306.462944379275,2612.967885003152,6.695
2024,19,智慧大棚,第二季,0.0,2939.078172781578,2874.2646735034673,8.034
2024,19,水浇地,第一季,6224.211608163382,2755.3857869827293,2177.4732375026265,6.695
2024,20,普通大棚,第一季,28658.243839829716,2201.1610737134247,2604.5740439150723,3.8625000000000003
2024,20,智慧大棚,第一季,28658.243839829716,2201.1610737134247,2604.5740439150723,3.8625000000000003
2024,20,智慧大棚,第二季,0.0,2017.730984237306,2865.0314483065795,4.635
2024,20,水浇地,第一季,28658.243839829716,1834.3008947611875,2170.478369929227,3.8625000000000003
2024,21,普通大棚,第一季,34107.862481453005,2746.8851150603987,2589.135580212375,6.4375
2024,21,智慧大棚,第一季,34107.862481453005,2746.8851150603987,2589.135580212375,6.4375
2024,21,智慧大棚,第二季,780.4341415247721,2472.1966035543587,2848.0491382336127,7.7250000000000005
2024,21,水浇地,第一季,34107.862481453005,2197.508092048319,2157.6129835103125,6.4375
2024,22,普通大棚,第一季,41321.90935025964,7373.525572718423,2607.791931342488,5.665
2024,22,智慧大棚,第一季,41321.90935025964,7373.525572718423,2607.791931342488,5.665
2024,22,智慧大棚,第二季,2066.095467512982,6636.173015446581,2868.5711244767367,6.798
2024,22,水浇地,第一季,41321.90935025964,5898.820458174739,2173.1599427854067,5.665
2024,23,普通大棚,第一季,0.0,3035.2987031041316,2918.1913274639587,5.9225
2024,23,智慧大棚,第一季,0.0,3035.2987031041316,2918.1913274639587,5.9225
2024,23,智慧大棚,第二季,863.8614463253151,2759.3624573673924,3242.4348082932875,7.107
2024,23,水浇地,第一季,0.0,2483.426211630653,2485.866686358187,5.9225
2024,24,普通大棚,第一季,1735.1648245675422,2773.526005931656,2170.579655453683,5.4075
2024,24,智慧大棚,第一季,1735.1648245675422,2773.526005931656,2170.579655453683,5.4075
2024,24,智慧大棚,第二季,780.824171055394,2496.1734053384903,2387.637620999051,7.004
2024,24,水浇地,第一季,1735.1648245675422,2218.820804745325,1736.463724362946,5.4075
2024,25,普通大棚,第一季,3453.7699375232082,3692.9126544441838,3251.767055001796,5.665
2024,25,智慧大棚,第一季,3453.7699375232082,3692.9126544441838,3251.767055001796,5.665
2024,25,智慧大棚,第二季,0.0,3323.6213889997657,3576.9437605019757,6.798
2024,25,水浇地,第一季,3453.7699375232082,3046.652939916452,2601.4136440014368,5.665
2024,26,普通大棚,第一季,3875.1958516854465,4143.335404904471,3807.9692048702855,6.695
2024,26,智慧大棚,第一季,3875.1958516854465,4143.335404904471,3807.9692048702855,6.695
2024,26,智慧大棚,第二季,0.0,3775.038924468518,4188.766125357314,8.034
2024,26,水浇地,第一季,3875.1958516854465,3406.742444032565,3155.174484035379,6.695
2024,27,普通大棚,第一季,4309.230722659929,4663.613658315486,2159.68679636934,5.15
2024,27,智慧大棚,第一季,4309.230722659929,4663.613658315486,2159.68679636934,5.15
2024,27,智慧大棚,第二季,0.0,4197.252292483937,2375.6554760062736,6.18
2024,27,水浇地,第一季,4309.230722659929,3824.163199818698,1727.7494370954716,5.15
2024,28,普通大棚,第一季,33010.41283388873,3695.053715024183,2172.6430982131806,5.9225
2024,28,智慧大棚,第一季,33010.41283388873,3695.053715024183,2172.6430982131806,5.9225
2024,28,智慧大棚,第二季,1036.3734261802274,3325.5483435217648,2389.9074080344985,7.107
2024,28,水浇地,第一季,33010.41283388873,2956.0429720193465,1738.1144785705444,5.9225
2024,29,普通大棚,第一季,8626.737129439662,13750.615901250667,3807.894442102799,7.21
2024,29,智慧大棚,第一季,8626.737129439662,13750.615901250667,3807.894442102799,7.21
2024,29,智慧大棚,第二季,3882.031708247848,12375.554311125601,4188.683886313079,8.652000000000001
2024,29,水浇地,第一季,8626.737129439662,11000.492721000535,3155.1125377423195,7.21
2024,30,普通大棚,第一季,1442.5753603118678,4645.322443605314,2157.873022635606,5.4075
2024,30,智慧大棚,第一季,1442.5753603118678,4645.322443605314,2157.873022635606,5.4075
2024,30,智慧大棚,第二季,1298.3178242806812,4180.790199244782,2373.660324899167,6.489000000000001
2024,30,水浇地,第一季,1442.5753603118678,3809.164403756358,1726.298418108485,5.4075
2024,31,普通大棚,第一季,1149.6584924957208,1854.4783317926904,1298.6684942095767,7.4675
